python : import time: self [us] | cumulative | imported package
import time:      9707 |     590320 |       fastapi.routing
import time:       827 |        827 |         fastapi.websockets
import time:      1457 |       2283 |       fastapi.exception_handlers
import time:       843 |        843 |         fastapi.middleware
import time:       946 |       1788 |       fastapi.middleware.asyncexitstack
import time:       759 |        759 |       fastapi.openapi.docs
import time:      1349 |       1349 |         http.client
import time:      1220 |       1220 |           orjson.orjson
import time:      2159 |       3379 |         fastapi.responses
import time:      1525 |       6252 |       fastapi.openapi.utils
import time:      1433 |       1433 |             html.entities
import time:       877 |       2309 |           html
import time:       814 |       3122 |         starlette.middleware.errors
import time:       559 |        559 |         starlette.middleware.exceptions
import time:       983 |       4664 |       starlette.applications
import time:       739 |        739 |       starlette.middleware.base
import time:      2483 |     620641 |     fastapi.applications
import time:       573 |        573 |     fastapi.requests
import time:      1106 |     631858 |   fastapi
import time:       501 |        501 |     starlette.middleware.cors
import time:       471 |        972 |   fastapi.middleware.cors
import time:      1000 |       1000 |       gzip
import time:      1211 |       1211 |         socketserver
import time:      1048 |       2258 |       http.server
import time:       584 |        584 |         urllib.response
import time:       743 |       1327 |       urllib.error
import time:       633 |        633 |         nturl2path
import time:      1939 |       2572 |       urllib.request
import time:       647 |        647 |         wsgiref
import time:       462 |        462 |           wsgiref.util
import time:       529 |        529 |           wsgiref.headers
import time:       811 |       1801 |         wsgiref.handlers
import time:      2268 |       2268 |           _wmi
import time:      1080 |       3347 |         platform
import time:      1124 |       6919 |       wsgiref.simple_server
import time:       662 |        662 |       prometheus_client.openmetrics
import time:       457 |        457 |         prometheus_client.utils
import time:       724 |        724 |         prometheus_client.validation
import time:       811 |       1990 |       prometheus_client.openmetrics.exposition
import time:      1406 |       1406 |           prometheus_client.samples
import time:       969 |       2375 |         prometheus_client.metrics_core
import time:       773 |       3147 |       prometheus_client.registry
import time:       330 |        330 |       snappy
import time:       697 |        697 |       prometheus_client.asgi
import time:      1431 |      22328 |     prometheus_client.exposition
import time:       120 |        120 |       gc
import time:       715 |        834 |     prometheus_client.gc_collector
import time:       257 |        257 |           mmap
import time:       628 |        884 |         prometheus_client.mmap_dict
import time:       675 |       1558 |       prometheus_client.values
import time:       631 |        631 |         timeit
import time:      1137 |       1137 |         prometheus_client.decorator
import time:       828 |       2595 |       prometheus_client.context_managers
import time:      1256 |       5408 |     prometheus_client.metrics
import time:     50436 |      50436 |     prometheus_client.platform_collector
import time:       286 |        286 |       resource
import time:      1022 |       1308 |     prometheus_client.process_collector
import time:       903 |      81214 |   prometheus_client
import time:       318 |        318 |     app.core
import time:       489 |        807 |   app.core.metrics
import time:       264 |        264 |     app.api
import time:       345 |        609 |   app.api.endpoints
import time:       690 |        690 |         sqlalchemy.util.preloaded
import time:       538 |        538 |             sqlalchemy.cyextension
import time:       438 |        438 |               backports_abc
import time:      1726 |       2164 |             sqlalchemy.cyextension.collections
import time:      1217 |       1217 |             sqlalchemy.cyextension.immutabledict
import time:       709 |        709 |             sqlalchemy.cyextension.processors
import time:       566 |        566 |             sqlalchemy.cyextension.resultproxy
import time:       920 |        920 |                 sqlalchemy.util.compat
import time:      1431 |       2351 |               sqlalchemy.exc
import time:       650 |       3000 |             sqlalchemy.cyextension.util
import time:       640 |       8832 |           sqlalchemy.util._has_cy
import time:      1165 |       1165 |           sqlalchemy.util.typing
import time:      1216 |      11212 |         sqlalchemy.util._collections
import time:      2268 |       2268 |             greenlet._greenlet
import time:       642 |       2909 |           greenlet
import time:      2279 |       2279 |             sqlalchemy.util.langhelpers
import time:       982 |       3261 |           sqlalchemy.util._concurrency_py3k
import time:       597 |       6766 |         sqlalchemy.util.concurrency
import time:       849 |        849 |         sqlalchemy.util.deprecations
import time:      1024 |      20539 |       sqlalchemy.util
import time:       807 |        807 |                         sqlalchemy.event.registry
import time:       553 |       1359 |                       sqlalchemy.event.legacy
import time:      1189 |       2548 |                     sqlalchemy.event.attr
import time:       834 |       3382 |                   sqlalchemy.event.base
import time:       655 |       4037 |                 sqlalchemy.event.api
import time:       572 |       4608 |               sqlalchemy.event
import time:       765 |        765 |                     sqlalchemy.log
import time:      2400 |       3164 |                   sqlalchemy.pool.base
import time:      1423 |       4587 |                 sqlalchemy.pool.events
import time:       814 |        814 |                   sqlalchemy.util.queue
